'Elapsed time','ECG I','ECG I filtered'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.21500000,0.02000000
'0:00.002',-0.15000000,0.01500000
'0:00.004',-0.16000000,0.00500000
'0:00.006',-0.19500000,0.00000000
'0:00.008',-0.28000000,-0.01000000
'0:00.010',-0.33500000,-0.01500000
'0:00.012',-0.34000000,-0.02000000
'0:00.014',-0.32500000,-0.02000000
'0:00.016',-0.27500000,-0.02000000
'0:00.018',-0.17000000,-0.02000000
'0:00.020',-0.18000000,-0.01500000
'0:00.022',-0.17000000,-0.01000000
'0:00.024',-0.16500000,-0.01000000
'0:00.026',-0.18000000,-0.01000000
'0:00.028',-0.32000000,-0.01000000
'0:00.030',-0.38500000,-0.01000000
'0:00.032',-0.32000000,-0.01000000
'0:00.034',-0.28000000,-0.01000000
'0:00.036',-0.23500000,-0.01000000
'0:00.038',-0.16000000,-0.00500000
'0:00.040',-0.14500000,-0.00500000
'0:00.042',-0.17000000,0.00000000
'0:00.044',-0.19000000,0.00500000
'0:00.046',-0.27000000,0.01000000
'0:00.048',-0.32500000,0.01000000
'0:00.050',-0.30500000,0.01000000
'0:00.052',-0.29000000,0.01000000
'0:00.054',-0.26500000,0.01000000
'0:00.056',-0.24500000,0.01000000
'0:00.058',-0.20500000,0.01000000
'0:00.060',-0.16500000,0.00500000
'0:00.062',-0.17000000,0.00500000
'0:00.064',-0.20000000,0.00000000
'0:00.066',-0.24000000,0.00000000
'0:00.068',-0.24000000,-0.00500000
'0:00.070',-0.32500000,-0.01000000
'0:00.072',-0.31500000,-0.01500000
'0:00.074',-0.31500000,-0.01500000
'0:00.076',-0.24500000,-0.01500000
'0:00.078',-0.17000000,-0.01000000
'0:00.080',-0.21000000,-0.00500000
'0:00.082',-0.18000000,0.00000000
'0:00.084',-0.16500000,0.00000000
'0:00.086',-0.23000000,0.00500000
'0:00.088',-0.23500000,0.00500000
'0:00.090',-0.29500000,0.00000000
'0:00.092',-0.38000000,-0.01000000
'0:00.094',-0.32500000,-0.02000000
'0:00.096',-0.28500000,-0.02500000
'0:00.098',-0.21500000,-0.03000000
'0:00.100',-0.20000000,-0.03500000
'0:00.102',-0.22500000,-0.03000000
'0:00.104',-0.20000000,-0.02500000
'0:00.106',-0.24000000,-0.02000000
'0:00.108',-0.28000000,-0.01500000
'0:00.110',-0.32000000,-0.01000000
'0:00.112',-0.33000000,-0.01000000
'0:00.114',-0.30500000,-0.01000000
'0:00.116',-0.26000000,-0.01500000
'0:00.118',-0.20500000,-0.02000000
'0:00.120',-0.17500000,-0.02500000
'0:00.122',-0.17000000,-0.02500000
'0:00.124',-0.25000000,-0.02500000
'0:00.126',-0.27000000,-0.02500000
'0:00.128',-0.29000000,-0.02000000
'0:00.130',-0.32500000,-0.01000000
'0:00.132',-0.28500000,0.00000000
'0:00.134',-0.28000000,0.00500000
'0:00.136',-0.26000000,0.01000000
'0:00.138',-0.20500000,0.01000000
'0:00.140',-0.16000000,0.01000000
'0:00.142',-0.09500000,0.00500000
'0:00.144',-0.19000000,0.00500000
'0:00.146',-0.22000000,0.00500000
'0:00.148',-0.29500000,0.00500000
'0:00.150',-0.29500000,0.01000000
'0:00.152',-0.25500000,0.01500000
'0:00.154',-0.30000000,0.02000000
'0:00.156',-0.23500000,0.02500000
'0:00.158',-0.18500000,0.03000000
'0:00.160',-0.12000000,0.03500000
'0:00.162',-0.09500000,0.04000000
'0:00.164',-0.14000000,0.04000000
'0:00.166',-0.20000000,0.04000000
'0:00.168',-0.28000000,0.04000000
'0:00.170',-0.28500000,0.04000000
'0:00.172',-0.29500000,0.03500000
'0:00.174',-0.25500000,0.02500000
'0:00.176',-0.22500000,0.01000000
'0:00.178',-0.22000000,-0.00500000
'0:00.180',-0.19500000,-0.02000000
'0:00.182',-0.24000000,-0.03500000
'0:00.184',-0.27000000,-0.04500000
'0:00.186',-0.30500000,-0.05000000
'0:00.188',-0.34000000,-0.05000000
'0:00.190',-0.30000000,-0.04500000
'0:00.192',-0.31500000,-0.03500000
'0:00.194',-0.33500000,-0.02500000
'0:00.196',-0.24000000,-0.01500000
'0:00.198',-0.21000000,-0.01000000
'0:00.200',-0.18500000,-0.00500000
'0:00.202',-0.21000000,-0.00500000
'0:00.204',-0.19000000,-0.00500000
'0:00.206',-0.27000000,-0.01000000
'0:00.208',-0.35000000,-0.02000000
'0:00.210',-0.31500000,-0.02500000
'0:00.212',-0.31000000,-0.03000000
'0:00.214',-0.32000000,-0.03500000
'0:00.216',-0.27500000,-0.03500000
'0:00.218',-0.21500000,-0.04000000
'0:00.220',-0.24500000,-0.04000000
'0:00.222',-0.20500000,-0.04000000
'0:00.224',-0.23000000,-0.04000000
'0:00.226',-0.27500000,-0.04000000
'0:00.228',-0.26500000,-0.03500000
'0:00.230',-0.37000000,-0.03000000
'0:00.232',-0.37000000,-0.03000000
'0:00.234',-0.33000000,-0.02500000
'0:00.236',-0.17500000,-0.02000000
'0:00.238',-0.21000000,-0.02000000
'0:00.240',-0.17500000,-0.02000000
'0:00.242',-0.18500000,-0.02000000
'0:00.244',-0.22500000,-0.02500000
'0:00.246',-0.35500000,-0.03500000
'0:00.248',-0.38000000,-0.04000000
'0:00.250',-0.38000000,-0.05000000
'0:00.252',-0.36000000,-0.06000000
'0:00.254',-0.33000000,-0.07500000
'0:00.256',-0.26500000,-0.08500000
'0:00.258',-0.28000000,-0.09500000
'0:00.260',-0.29000000,-0.10000000
'0:00.262',-0.30000000,-0.09500000
'0:00.264',-0.33500000,-0.08500000
'0:00.266',-0.34000000,-0.05500000
'0:00.268',-0.33000000,-0.01000000
'0:00.270',-0.25500000,0.05500000
'0:00.272',-0.15000000,0.12500000
'0:00.274',0.02000000,0.20500000
'0:00.276',0.09500000,0.27500000
'0:00.278',0.22500000,0.33500000
'0:00.280',0.25500000,0.37500000
'0:00.282',0.26500000,0.38500000
'0:00.284',0.13500000,0.36500000
'0:00.286',0.01000000,0.32000000
'0:00.288',-0.12500000,0.25000000
'0:00.290',-0.25000000,0.16500000
'0:00.292',-0.19500000,0.07500000
'0:00.294',-0.24500000,-0.01500000
'0:00.296',-0.22500000,-0.09500000
'0:00.298',-0.37000000,-0.15500000
'0:00.300',-0.43500000,-0.20000000
'0:00.302',-0.47000000,-0.23000000
'0:00.304',-0.50000000,-0.24500000
'0:00.306',-0.49500000,-0.25000000
'0:00.308',-0.53500000,-0.24500000
'0:00.310',-0.55000000,-0.23500000
'0:00.312',-0.52500000,-0.22000000
'0:00.314',-0.50500000,-0.20000000
'0:00.316',-0.42500000,-0.18000000
'0:00.318',-0.31000000,-0.16000000
'0:00.320',-0.21500000,-0.14000000
'0:00.322',-0.29000000,-0.11500000
'0:00.324',-0.35000000,-0.10000000
'0:00.326',-0.38500000,-0.08000000
'0:00.328',-0.37000000,-0.07000000
'0:00.330',-0.38500000,-0.06500000
'0:00.332',-0.39500000,-0.06000000
'0:00.334',-0.32500000,-0.06000000
'0:00.336',-0.28500000,-0.06000000
'0:00.338',-0.21500000,-0.06000000
'0:00.340',-0.17500000,-0.05500000
'0:00.342',-0.21500000,-0.05000000
'0:00.344',-0.26000000,-0.04500000
'0:00.346',-0.35000000,-0.03500000
'0:00.348',-0.34500000,-0.03000000
'0:00.350',-0.37000000,-0.02500000
'0:00.352',-0.33000000,-0.02500000
'0:00.354',-0.26500000,-0.02000000
'0:00.356',-0.23000000,-0.02000000
'0:00.358',-0.19000000,-0.02000000
'0:00.360',-0.19500000,-0.02000000
'0:00.362',-0.21000000,-0.01500000
'0:00.364',-0.27000000,-0.01000000
'0:00.366',-0.33500000,-0.00500000
'0:00.368',-0.30000000,-0.00500000
'0:00.370',-0.29000000,0.00000000
'0:00.372',-0.29500000,0.00000000
'0:00.374',-0.24500000,-0.00500000
'0:00.376',-0.15500000,-0.01000000
'0:00.378',-0.20000000,-0.01500000
'0:00.380',-0.20000000,-0.01500000
'0:00.382',-0.18500000,-0.02000000
'0:00.384',-0.23500000,-0.02000000
'0:00.386',-0.32500000,-0.02000000
'0:00.388',-0.36000000,-0.01500000
'0:00.390',-0.32500000,-0.01500000
'0:00.392',-0.30000000,-0.01000000
'0:00.394',-0.23000000,-0.01000000
'0:00.396',-0.21000000,-0.00500000
'0:00.398',-0.20000000,-0.01000000
'0:00.400',-0.19500000,-0.01000000
'0:00.402',-0.20000000,-0.01000000
'0:00.404',-0.25000000,-0.01000000
'0:00.406',-0.28000000,-0.01500000
'0:00.408',-0.34500000,-0.01500000
'0:00.410',-0.34500000,-0.02000000
'0:00.412',-0.33000000,-0.02000000
'0:00.414',-0.25000000,-0.02000000
'0:00.416',-0.18500000,-0.02500000
'0:00.418',-0.22000000,-0.02000000
'0:00.420',-0.18500000,-0.02000000
'0:00.422',-0.19500000,-0.01500000
'0:00.424',-0.27000000,-0.00500000
'0:00.426',-0.28500000,0.00500000
'0:00.428',-0.27000000,0.02000000
'0:00.430',-0.27000000,0.03000000
'0:00.432',-0.22500000,0.04000000
'0:00.434',-0.18500000,0.04500000
'0:00.436',-0.13500000,0.05000000
'0:00.438',-0.10500000,0.05000000
'0:00.440',-0.16500000,0.04500000
'0:00.442',-0.17000000,0.04000000
'0:00.444',-0.21000000,0.03500000
'0:00.446',-0.26500000,0.03000000
'0:00.448',-0.27500000,0.02500000
'0:00.450',-0.29500000,0.02500000
'0:00.452',-0.29000000,0.03000000
'0:00.454',-0.23000000,0.03000000
'0:00.456',-0.15000000,0.04000000
'0:00.458',-0.13000000,0.04500000
'0:00.460',-0.12500000,0.05000000
'0:00.462',-0.17500000,0.06000000
'0:00.464',-0.18000000,0.06500000
'0:00.466',-0.21000000,0.07500000
'0:00.468',-0.25500000,0.08500000
'0:00.470',-0.26500000,0.09000000
'0:00.472',-0.16500000,0.09500000
'0:00.474',-0.08500000,0.10000000
'0:00.476',-0.07500000,0.10000000
