'Elapsed time','ECG I','ECG I filtered'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-0.900,0.000
'0:00.002',-0.910,0.020
'0:00.004',-0.870,0.030
'0:00.006',-0.825,0.035
'0:00.008',-0.830,0.030
'0:00.010',-0.905,0.025
'0:00.012',-0.865,0.010
'0:00.014',-0.905,0.000
'0:00.016',-0.960,-0.010
'0:00.018',-0.965,-0.010
'0:00.020',-0.925,-0.005
'0:00.022',-0.935,0.010
'0:00.024',-0.855,0.025
'0:00.026',-0.795,0.040
'0:00.028',-0.785,0.050
'0:00.030',-0.800,0.055
'0:00.032',-0.825,0.055
'0:00.034',-0.900,0.045
'0:00.036',-0.955,0.035
'0:00.038',-0.930,0.025
'0:00.040',-0.885,0.020
'0:00.042',-0.895,0.015
'0:00.044',-0.835,0.020
'0:00.046',-0.825,0.030
'0:00.048',-0.770,0.040
'0:00.050',-0.825,0.050
'0:00.052',-0.880,0.055
'0:00.054',-0.930,0.050
'0:00.056',-0.905,0.045
'0:00.058',-0.910,0.030
'0:00.060',-0.950,0.020
'0:00.062',-0.895,0.005
'0:00.064',-0.835,0.000
'0:00.066',-0.785,-0.005
'0:00.068',-0.815,0.000
'0:00.070',-0.850,0.005
'0:00.072',-0.915,0.015
'0:00.074',-0.950,0.020
'0:00.076',-0.930,0.020
'0:00.078',-0.940,0.020
'0:00.080',-0.965,0.010
'0:00.082',-0.925,-0.005
'0:00.084',-0.870,-0.015
'0:00.086',-0.785,-0.025
'0:00.088',-0.885,-0.030
'0:00.090',-0.890,-0.030
'0:00.092',-0.955,-0.020
'0:00.094',-0.905,-0.005
'0:00.096',-0.980,0.015
'0:00.098',-0.925,0.030
'0:00.100',-0.890,0.040
'0:00.102',-0.910,0.040
'0:00.104',-0.775,0.040
'0:00.106',-0.740,0.030
'0:00.108',-0.845,0.015
'0:00.110',-0.905,0.000
'0:00.112',-0.930,-0.015
'0:00.114',-0.970,-0.020
'0:00.116',-1.030,-0.025
'0:00.118',-0.965,-0.025
'0:00.120',-0.900,-0.015
'0:00.122',-0.855,-0.010
'0:00.124',-0.910,0.000
'0:00.126',-0.840,0.010
'0:00.128',-0.865,0.015
'0:00.130',-0.810,0.015
'0:00.132',-0.860,0.010
'0:00.134',-1.015,0.005
'0:00.136',-0.995,-0.005
'0:00.138',-0.945,-0.010
'0:00.140',-0.935,-0.015
'0:00.142',-0.910,-0.020
'0:00.144',-0.830,-0.025
'0:00.146',-0.815,-0.025
'0:00.148',-0.925,-0.025
'0:00.150',-0.915,-0.025
'0:00.152',-0.985,-0.025
'0:00.154',-0.960,-0.025
'0:00.156',-0.950,-0.025
'0:00.158',-0.970,-0.025
'0:00.160',-0.930,-0.025
'0:00.162',-0.875,-0.025
'0:00.164',-0.920,-0.025
'0:00.166',-0.855,-0.020
'0:00.168',-0.825,-0.015
'0:00.170',-0.905,-0.010
'0:00.172',-0.940,-0.005
'0:00.174',-0.930,-0.005
'0:00.176',-0.970,0.000
'0:00.178',-1.000,0.000
'0:00.180',-0.905,0.000
'0:00.182',-0.865,0.000
'0:00.184',-0.830,0.000
'0:00.186',-0.855,-0.005
'0:00.188',-0.905,-0.005
'0:00.190',-0.900,-0.010
'0:00.192',-0.940,-0.015
'0:00.194',-0.980,-0.020
'0:00.196',-0.985,-0.025
'0:00.198',-0.940,-0.035
'0:00.200',-0.970,-0.040
'0:00.202',-0.915,-0.045
'0:00.204',-0.880,-0.045
'0:00.206',-0.845,-0.040
'0:00.208',-0.865,-0.035
'0:00.210',-0.900,-0.030
'0:00.212',-0.960,-0.020
'0:00.214',-0.975,-0.015
'0:00.216',-0.950,-0.005
'0:00.218',-0.920,0.000
'0:00.220',-0.945,0.000
'0:00.222',-0.885,0.005
'0:00.224',-0.855,0.005
'0:00.226',-0.805,0.010
'0:00.228',-0.855,0.010
'0:00.230',-0.855,0.015
'0:00.232',-0.920,0.020
'0:00.234',-0.915,0.025
'0:00.236',-0.945,0.030
'0:00.238',-0.915,0.030
'0:00.240',-0.960,0.025
'0:00.242',-0.840,0.025
'0:00.244',-0.765,0.020
'0:00.246',-0.795,0.020
'0:00.248',-0.815,0.025
'0:00.250',-0.850,0.025
'0:00.252',-0.905,0.030
'0:00.254',-0.950,0.030
'0:00.256',-0.935,0.030
'0:00.258',-0.950,0.025
'0:00.260',-0.920,0.020
'0:00.262',-0.850,0.010
'0:00.264',-0.770,0.000
'0:00.266',-0.885,-0.005
'0:00.268',-0.915,-0.010
